# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  10 123.827 988.17 320.028
  11 136.861 981.62 328.51
  12 149.896 1014.75 319.958
  13 162.93 957.41 316.445
  14 175.964 1014.87 308.609
  15 188.999 964.6 306.545
  16 202.033 1004.99 301.896
  17 215.068 1017.91 300.162
  18 228.102 948.56 295.184
  19 241.136 1016.28 286.666
  20 254.171 1002.68 282.275
350000 20 19843
  1 6.5172 991.03 275.659
  2 19.5516 1015.45 284.152
  3 32.586 957.4 287.216
  4 45.6204 1015.07 291.658
  5 58.6548 976.54 297.425
  6 71.6892 991.41 300.434
  7 84.7236 1018.97 301.311
  8 97.758 947.96 302.275
  9 110.792 1016.79 311.685
  10 123.827 988.5 319.52
  11 136.861 981.21 327.563
  12 149.896 1014.81 320.685
  13 162.93 957.44 319.023
  14 175.964 1014.79 311.991
  15 188.999 966.78 301.167
  16 202.033 1002.84 299.751
  17 215.068 1017.97 300.032
  18 228.102 948.74 295.016
  19 241.136 1015.98 287.656
  20 254.171 1003.32 286.695
360000 20 19842.999999999996
  1 6.5172 991.15 273.855
  2 19.5516 1015.43 279.658
  3 32.586 957.53 283.478
  4 45.6204 1014.99 290.676
  5 58.6548 978.38 298.564
  6 71.6892 989.71 300.293
  7 84.7236 1018.99 305.463
  8 97.758 947.96 308.361
  9 110.792 1016.47 310.17
  10 123.827 988.5 318.746
  11 136.861 981.3 326.488
  12 149.896 1014.83 324.873
  13 162.93 957.42 323.002
  14 175.964 1014.81 310.114
  15 188.999 964.97 303.323
  16 202.033 1004.64 296.645
  17 215.068 1017.9 301.144
  18 228.102 948.64 295.099
  19 241.136 1016.15 286.313
  20 254.171 1003.23 282.117
370000 20 19843.000000000004
  1 6.5172 989.9 270.688
  2 19.5516 1015.54 280.227
  3 32.586 957.55 287.495
  4 45.6204 1014.82 294.169
  5 58.6548 978.26 295.575
  6 71.6892 989.85 300.356
  7 84.7236 1018.98 304.06
  8 97.758 947.72 311.387
  9 110.792 1016.84 319.534
  10 123.827 987.14 322.648
  11 136.861 982.59 322.615
